Peak Date,Track,With,Streams,Global,US,GB,CA,AU,DE,SE,DK,NO,NL,FR,NZ,IE,IT,BR,PL,ES,MX,PH,CH,BE,FI,PT,TR,SG,AT,AR,IS,MY,HU,CZ,CL,TW,GR,CO,HK,ID,RO,LV,IL,SK,LT,CR,JP,EE,BG,PE,IN,TH,DO,EC,PA,MT,LU,GT,HN,PY,UY,VN,BO,CY,SV,NI
20180914,I Love It (& Lil Pump),Lil Pump,"337,102,952",1,1,1,1,1,8,1,2,1,8,21,1,2,18,61,2,46,30,56,2,2,2,5,40,28,7,59,1,26,2,3,87,32,1,59,8,57,1,1,2,1,1,18,62,2,1,84,--,44,30,67,38,1,2,54,31,64,70,27,53,1,46,45
20150306,FourFiveSeconds,"Rihanna, Paul McCartney","235,917,437",1,4,1,1,1,3,1,1,1,1,1,1,1,4,12,4,8,13,5,1,3,6,6,7,5,1,11,1,5,3,4,42,3,4,12,5,--,--,1,--,2,1,11,--,2,2,36,--,--,8,15,9,2,2,14,21,14,7,--,12,3,16,17
20160408,Famous,,"184,027,866",17,3,24,7,25,27,22,17,16,56,55,25,25,45,61,31,77,78,52,20,40,59,41,44,55,32,134,2,57,32,35,156,41,28,76,61,46,--,27,--,28,33,77,--,28,19,150,--,--,56,120,52,31,25,98,67,91,101,--,83,28,101,70
20160916,Ni**as In Paris,JAY Z,"173,483,068",132,118,109,101,100,32,154,146,--,--,93,125,47,--,--,46,--,--,--,107,156,--,--,130,172,154,--,91,--,133,194,--,--,114,--,--,--,--,37,--,136,186,--,--,45,66,--,--,--,--,--,--,156,137,--,--,--,--,--,--,--,--,--
20190329,Mixed Personalities,YNW Melly,"144,064,107",59,12,139,26,92,--,--,188,137,165,--,59,180,--,--,--,--,--,--,--,--,--,183,--,--,--,--,61,--,--,--,--,--,107,--,--,--,138,122,--,--,147,--,--,--,169,--,--,--,--,--,--,--,137,--,--,--,--,--,--,149,--,--
20180602,All Mine,,"140,683,217",3,1,6,2,3,52,31,14,20,42,46,4,9,108,180,19,127,--,82,21,12,52,16,112,46,28,--,2,63,15,14,--,32,3,182,13,123,1,3,14,2,5,93,89,7,1,--,--,57,65,--,113,10,6,151,108,--,--,73,200,10,--,183
20160405,Father Stretch My Hands Pt. 1,,"123,279,195",33,8,46,22,57,92,83,52,80,93,126,54,56,108,--,81,147,--,136,60,94,125,100,147,115,92,--,15,133,86,140,--,191,81,--,150,95,--,59,--,86,76,--,--,57,82,--,--,--,167,--,129,86,53,--,--,--,--,--,--,--,--,--
20191026,Follow God,,"94,098,703",4,1,3,1,5,48,17,7,12,37,49,8,6,138,112,27,196,192,55,11,25,27,20,150,28,36,--,3,42,9,18,--,61,12,190,12,161,5,4,19,7,4,105,110,7,6,--,62,108,104,--,151,7,35,157,109,--,--,102,--,9,168,--
20161231,Stronger,,"93,511,191",158,169,79,143,95,122,155,192,--,--,166,143,86,194,--,139,--,--,--,149,142,196,--,142,--,163,--,129,--,96,132,--,180,121,--,196,--,111,141,160,158,144,--,--,152,117,--,--,--,--,--,--,160,186,--,--,--,--,--,--,--,--,--
20160408,Waves,,"72,136,119",50,21,61,40,70,110,84,84,78,143,200,64,77,191,--,148,--,--,170,74,129,198,142,--,195,132,--,26,169,135,--,--,--,126,--,189,132,--,81,--,96,107,--,--,110,107,--,--,--,--,--,--,--,77,--,--,--,--,--,--,--,--,--
